x_ppm,x_Hz,spectrum,normalized_spectrum
14.511003472622656,4355.47769230769,8.128415256674945e-05,0.0003251366102669978
14.510392429797195,4355.294287803627,8.108161578738407e-05,0.0003243264631495363
14.509781386971731,4355.110883299565,8.088637763069853e-05,0.00032354551052279413
14.509170344146268,4354.927478795502,8.07039120637027e-05,0.0003228156482548108
14.508559301320807,4354.74407429144,8.053969305340644e-05,0.00032215877221362574
14.507948258495345,4354.560669787377,8.039554525547973e-05,0.0003215821810219189
14.507337215669883,4354.377265283315,8.027268510703586e-05,0.00032109074042814344
14.506726172844422,4354.193860779253,8.016989617096153e-05,0.00032067958468384614
14.506115130018957,4354.010456275189,8.00865702287001e-05,0.0003203462809148004
14.505504087193495,4353.827051771127,8.001784153179834e-05,0.00032007136612719335
14.504893044368034,4353.643647267065,7.996127720602963e-05,0.0003198451088241185
14.504282001542572,4353.4602427630025,7.991079506582745e-05,0.0003196431802633098
14.50367095871711,4353.27683825894,7.986213758129522e-05,0.0003194485503251809
14.503059915891647,4353.093433754878,7.981165544109304e-05,0.00031924662176437217
14.502448873066184,4352.910029250815,7.975509111532434e-05,0.00031902036446129734
14.501837830240722,4352.726624746752,7.968818707409252e-05,0.00031875274829637007
14.501226787415261,4352.54322024269,7.960972688028432e-05,0.0003184389075211373
14.5006157445898,4352.359815738628,7.951849409678639e-05,0.00031807397638714555
14.500004701764338,4352.176411234565,7.941509694215542e-05,0.0003176603877686217
14.499393658938873,4351.993006730502,7.929953541639139e-05,0.00031719814166556554
14.498782616113411,4351.80960222644,7.917485061227757e-05,0.00031669940244911026
14.49817157328795,4351.626197722378,7.904286718548391e-05,0.00031617146874193564
14.497560530462488,4351.442793218315,7.891088375869025e-05,0.000315643535034761
14.496949487637027,4351.259388714253,7.878437429890647e-05,0.00031513749719562587
14.496338444811562,4351.07598421019,7.866820455458578e-05,0.0003146728182183431
14.4957274019861,4350.892579706127,7.856906492985138e-05,0.00031427625971940554
14.495116359160638,4350.709175202065,7.848817186181656e-05,0.00031395268744726626
14.494505316335177,4350.525770698003,7.842248425769806e-05,0.00031368993703079223
14.493894273509715,4350.3423661939405,7.836713636904265e-05,0.0003134685454761706
14.49328323068425,4350.158961689877,7.831482957317052e-05,0.00031325931829268206
14.492672187858789,4349.975557185815,7.825948168451511e-05,0.00031303792673806043
14.492061145033327,4349.792152681753,7.819805161029317e-05,0.0003127922064411727
14.491450102207866,4349.60874817769,7.81293229133914e-05,0.0003125172916535656
14.490839059382404,4349.425343673628,7.805025450102655e-05,0.0003122010180041062
14.490228016556943,4349.241939169566,7.796084637319858e-05,0.00031184338549279433
14.489616973731478,4349.0585346655025,7.785927387423757e-05,0.00031143709549695027
14.489005930906016,4348.87513016144,7.77467534412568e-05,0.0003109870137650272
14.488394888080554,4348.691725657378,7.76269343855962e-05,0.0003105077375423848
14.487783845255093,4348.508321153316,7.750164136292573e-05,0.0003100065654517029
14.487172802429631,4348.324916649253,7.737026615468873e-05,0.0003094810646187549
14.486561759604166,4348.14151214519,7.723220054232853e-05,0.00030892880216931414
14.485950716778705,4347.958107641128,7.708440343306191e-05,0.00030833761373224764
14.485339673953243,4347.774703137065,7.692383373410557e-05,0.00030769533493642227
14.484728631127782,4347.591298633003,7.674866678978957e-05,0.00030699466715915826
14.48411758830232,4347.407894128941,7.655951081867055e-05,0.0003062380432746822
14.483506545476855,4347.224489624878,7.636244800631504e-05,0.00030544979202526016
14.482895502651393,4347.041085120815,7.616173588261962e-05,0.00030464694353047846
14.482284459825932,4346.857680616753,7.596467307026411e-05,0.00030385869228105643
14.48167341700047,4346.674276112691,7.57767335362584e-05,0.0003031069341450336
14.481062374175009,4346.490871608628,7.560643234039562e-05,0.00030242572936158246
14.480451331349544,4346.307467104565,7.545437770123242e-05,0.00030181751080492967
14.479840288524082,4346.124062600503,7.53205696187688e-05,0.0003012822784750752
14.47922924569862,4345.9406580964405,7.520135878166486e-05,0.00030080543512665944
14.47861820287316,4345.757253592378,7.50937040971373e-05,0.0003003748163885492
14.478007160047698,4345.573849088316,7.499456447240291e-05,0.00029997825788961164
14.477396117222236,4345.390444584254,7.489846594045176e-05,0.00029959386376180705
14.476785074396771,4345.20704008019,7.479932631571735e-05,0.0002991973052628694
14.47617403157131,4345.023635576128,7.469288806830312e-05,0.0002987715522732125
14.475562988745848,4344.840231072066,7.457611010542578e-05,0.0002983044404217031
14.474951945920386,4344.656826568003,7.444534311574543e-05,0.00029778137246298174
14.474340903094925,4344.473422063941,7.430058709926207e-05,0.0002972023483970483
14.47372986026946,4344.290017559878,7.414123383741904e-05,0.00029656493534967616
14.473118817443998,4344.106613055816,7.396910798588629e-05,0.00029587643194354515
14.472507774618537,4343.923208551753,7.378907529311707e-05,0.0002951563011724683
14.471896731793075,4343.739804047691,7.360539328900793e-05,0.0002944215731560317
14.471285688967614,4343.556399543629,7.342353594056873e-05,0.0002936941437622749
14.470674646142148,4343.3729950395655,7.324654434058278e-05,0.0002929861773623311
14.470063603316687,4343.189590535503,7.307502670760668e-05,0.0002923001068304267
14.469452560491225,4343.006186031441,7.290898304164047e-05,0.00029163593216656187
14.468841517665764,4342.8227815273785,7.274658868701417e-05,0.0002909863547480567
14.468230474840302,4342.639377023316,7.25878436437278e-05,0.0002903513745749112
14.467619432014837,4342.455972519253,7.243153147466802e-05,0.0002897261258986721
14.467008389189376,4342.272568015191,7.227886861694817e-05,0.0002891154744677927
14.466397346363914,4342.089163511128,7.212803041489829e-05,0.00028851212165959314
